page_number,company_name,email_count,emails,phones,websites,founded_year,employees,profile_url
1,Better Packaging Co.,4,jessy@betterpackaging.com; carly@betterpackaging.com; kate@betterpackaging.com; rebecca@betterpackaging.com,02035196711,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,,10-49,https://www.commonobjective.co/better-packaging-co
1,Mantis World,4,Basak@mantisworld.com; prama@mantisworld.com; marion@mantisworld.com; russ@mantisworld.com,+442072248991,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2000,10-49,https://www.commonobjective.co/mantis-world
1,Dibella India,1,sreeranga@dibellaindia.com,+917795049990,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2013,250-999,https://www.commonobjective.co/dibella-india
1,USHA YARNS LTD,2,anurag@ushayarns.com; jai@ushayarns.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1995,250-999,https://www.commonobjective.co/usha-yarns-limited
1,KOCO: Knit One (Garment) Change One (Life),2,danielle@koco.global; communications@koco.global,+61405224810,www.koco.global; www.google.com; https://www.googletagmanager.com,2012,50-249,https://www.commonobjective.co/koco-knit-one-garment-change-one-life
1,Sonica Sarna Design,1,sonicasarna@gmail.com,,http://www.sonicasarna.com; www.google.com; https://www.googletagmanager.com,1993,,https://www.commonobjective.co/sonica-sarna-design
1,Cocccon Crafts Loom,2,adnan.basheer69@gmail.com; prakash@cocccon.de,,www.google.com; https://www.googletagmanager.com; http://www.cocccon-crafts-loom.com,2011,,https://www.commonobjective.co/cocccon-crafts-loom
1,Purnaa Enterprises,3,thibberd@purnaa.com; communications@purnaa.com; sales@purnaa.com,,www.google.com; www.purnaa.com; https://www.googletagmanager.com,2013,250-999,https://www.commonobjective.co/purnaa-enterprises
1,Mehera Shaw,1,shari@meherashaw.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2007,10-49,https://www.commonobjective.co/mehera-shaw
1,Wood Belt,1,info@woodbelt.eu,+38641684182,http://woodbelt.eu; www.google.com; https://www.googletagmanager.com,2019,1-4,https://www.commonobjective.co/wood-belt
1,Naturtex Eko Peru,3,gigi@g-gi.com; ceci.roman.cuba@gmail.com; info@perunaturtex.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1977,10-49,https://www.commonobjective.co/naturtex-eko-peru
1,MORALFIBRE,1,moralfibre77@gmail.com,+91 09979854212; 09979854212,www.google.com; www.moralfibre-fabrics.com; https://www.googletagmanager.com,2008,,https://www.commonobjective.co/moralfibre
1,Fusion Clothing Company,3,suyash@fusionclothing.com; shishir@fusionclothing.com; devansh@fusionclothing.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1992,50-249,https://www.commonobjective.co/fusion-clothing-company
1,THERMORE,1,laura.beretta@thermore.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1972,,https://www.commonobjective.co/thermore
1,Organic Lace by Modespitze,1,a.reinhardt@modespitze.de,,www.organic-lace.de; www.google.com; https://www.googletagmanager.com,1897,10-49,https://www.commonobjective.co/organic-lace-by-modespitze
1,Organic Cotton Colours,1,info@organiccottoncolours.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1992,5-9,https://www.commonobjective.co/organic-cotton-colours
1,Cheng Kung Garments,1,wsdjen@chengkung.cn,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1975,50-249,https://www.commonobjective.co/cheng-kung-garments
1,"Kintra Fibers, Inc.",1,billy@kintrafibers.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2018,1-4,https://www.commonobjective.co/kintra-fibers-inc
1,Knitwin Fashion,2,hello@knitwinfashion.com; vincent@indigenousindustries.com,,https://www.google-analytics.com; https://www.google.com; https://knitwinfashion.com,1996,,https://www.commonobjective.co/knitwin-fashion
1,Solid,1,inge@solidinternational.be,+32473937619,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2005,50-249,https://www.commonobjective.co/solid-2
2,NC John & Sons,2,alex@ncjohn.net; martydillon1972@gmail.com,,www.google.com; http://www.ncjohngarment.com; https://www.googletagmanager.com,1921,,https://www.commonobjective.co/nc-john-sons
2,Evolv Clothing Company Pvt. Ltd.,3,suparna@evolvclothing.com; neeti@evolvclothing.com; krishnaveni@evolvclothing.com,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,1975,1000+,https://www.commonobjective.co/evolv-clothing-company-pvt-ltd
2,Deeps Texstyles Pvt Ltd.,1,soumodip@deepstexstyles.com,+919874245167,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,1991,50-249,https://www.commonobjective.co/deeps-texstyles-pvt-ltd
2,ITL Group,3,hayley.solomon@itl-group.com; simon.phelps@itl-group.com; jimmy.christopher@itl-group.com,,https://digitalresources.itl-group.com; www.google.com; https://www.googletagmanager.com,1987,1000+,https://www.commonobjective.co/itl-group
2,Edtex Limited,1,batiks@edtexghana.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,1998,5-9,https://www.commonobjective.co/edtex-limited
2,Mojopanda Exim Private Limited,1,sm@mojopanda.com,+919999680224,www.google.com; https://www.googletagmanager.com; https://www.mojopanda.co.in,2014,10-49,https://www.commonobjective.co/mojopanda-exim-private-limited
2,ANUPRERNA ARTISAN ALLIANCE,1,singhakumaranup@gmail.com,+917483194942,www.google.com; https://anuprerna.com; https://www.googletagmanager.com,1983,,https://www.commonobjective.co/anuprerna-artisan-alliance
2,Amandine Cha LTA (Les Trouvailles d'Amandine),2,c.pellegris@amandinecha.com; a.cha-dessolier@amandinecha.com,+33953721738,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2010,,https://www.commonobjective.co/amandine-cha-lta-les-trouvailles-d-amandine
2,GLOBAL GREEN,2,rodrigo@globo.nl; david@globalgreen.solutions,+31416272572,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2019,,https://www.commonobjective.co/global-green
2,Intercrafts Peru S.A.C.,1,info@intercraftsperu.com,,https://www.google-analytics.com; https://www.google.com; http://intelligence.ethicalfashionforum.com,2002,,https://www.commonobjective.co/intercrafts-peru-s-a-c
2,Aadhava apparels,2,sekar239@gmail.com; aadhava@aadhava.in,+919952311477,https://www.google-analytics.com; https://www.aadhava.in; https://www.google.com,2019,10-49,https://www.commonobjective.co/aadhava-apparels
2,Iconoclast Studio,1,monica@iconoclaststudio.com,+13108077074,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2018,5-9,https://www.commonobjective.co/iconoclast-studio
2,Orange Fiber,1,enricaarena@orangefiber.it,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2014,,https://www.commonobjective.co/orange-fiber
2,Artisan Hut,1,artisanhut@gmail.com,+8801819270869,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2002,50-249,https://www.commonobjective.co/artisan-hut
2,The Loyal Workshop,2,sarah@theloyalworkshop.com; joel@theloyalworkshop.com,,www.google.com; http://www.theloyalworkshop.com; https://www.googletagmanager.com,2014,10-49,https://www.commonobjective.co/the-loyal-workshop
2,ECOSIMPLE,2,rodrigo@globo.nl; david@globalgreen.solutions,+31416272572,https://www.google-analytics.com; http://bcorporation.net; https://www.google.com,2010,,https://www.commonobjective.co/ecosimple
2,3F TEKSTİL SAN VE DIŞ TİCARET A.Ş.,1,dilsat@3ftextile.com,,https://www.google-analytics.com; https://www.google.com; http://www.3ftextile.com,2014,250-999,https://www.commonobjective.co/3f-tekstil-san-ve-dis-ticaret-a-s
2,Motif Handmade,2,susan@clearlypresentable.com; jackie@motifhandmade.com,+12175520537,www.google.com; https://www.googletagmanager.com; http://verified.peopleandplanetfirst.org,1998,1-4,https://www.commonobjective.co/motif-handmade
2,BaSE,1,base.bangladesh.1977@gmail.com,+8801715684374,www.basebangladesh.org; www.google.com; https://www.googletagmanager.com,1977,1000+,https://www.commonobjective.co/base
2,Purecotz Eco Lifestyles Pvt. Ltd.,0,,,https://www.google-analytics.com; https://www.google.com; http://www.purecotz.com,1998,1000+,https://www.commonobjective.co/purecotz-eco-lifestyles-pvt-ltd
3,Continental Clothing Co.,2,jada_l@continentalclothing.com; mariuszcontinental@mac.com,02076042200,www.google.com; http://www.continentalclothing.com; https://www.googletagmanager.com,1994,,https://www.commonobjective.co/continental-clothing-co
3,Herbal Fab,1,herbalfab@gmail.com,+91 8141477309,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2008,,https://www.commonobjective.co/herbal-fab
3,Threads of Peru,2,sarah@threadsofperu.com; sales@threadsofperu.com,+1 6048097014,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2009,1-4,https://www.commonobjective.co/threads-of-peru
3,Five P Venture - Sustainable Clothing & Fabrics,1,bharathi@fivep.in,+919500935115,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2013,50-249,https://www.commonobjective.co/five-p-venture-sustainable-clothing-fabrics
3,Ethical Apparel Africa (EAA),3,cmbeischer@gmail.com; kpybus@ethicalapparelafrica.com; pwatine@ethicalapparelafrica.com,+447974140807,http://www.ethicalapparelafrica.com; www.google.com; https://www.googletagmanager.com,2015,10-49,https://www.commonobjective.co/ethical-apparel-africa-eaa
3,Flocus BV,1,sara.cicognani@flocus.pro,,www.google.com; https://www.googletagmanager.com; https://s.pointerpro.com,2018,10-49,https://www.commonobjective.co/flocus-bv
3,DekelDyes,1,suzannedekel@gmail.com,,https://www.suzannedekel.com; www.google.com; https://www.googletagmanager.com,2015,1-4,https://www.commonobjective.co/dekeldyes
3,Zamira Fashion Limited,3,aimeeg@zamira.hk; germaineh@zamira.com.cn; thomasm@zamira.hk,,https://drive.google.com; https://www.google-analytics.com; https://www.google.com,2007,50-249,https://www.commonobjective.co/zamira-fashion-limited
