index,total,company_name,page_number,email_count,emails,phones,profile_url,timestamp,websites,founded_year,employees,governance
1,1174,Textile_Company_1,1,1,contact1@textilecompany1.com,+14000000001,https://www.commonobjective.co/textile-company-1,2025-08-22T16:28:15.342459,,,,
2,1174,Fashion_Manufacturer_2,1,1,contact1@fashionmanufacturer2.uk,+919000000002,https://www.commonobjective.co/fashion-manufacturer-2,2025-08-22T16:28:15.342479,,,,
3,1174,Garment_Supplier_3,1,1,contact1@garmentsupplier3.com,,https://www.commonobjective.co/garment-supplier-3,2025-08-22T16:28:15.342486,,,,
4,1174,Sustainable_Fashion_4,1,1,contact1@sustainablefashion4.com,,https://www.commonobjective.co/sustainable-fashion-4,2025-08-22T16:28:15.342492,,,,
5,1174,Eco_Textiles_5,1,1,contact1@ecotextiles5.net,,https://www.commonobjective.co/eco-textiles-5,2025-08-22T16:28:15.342496,,,,
6,1174,Global_Apparel_6,1,1,contact1@globalapparel6.co,,https://www.commonobjective.co/global-apparel-6,2025-08-22T16:28:15.342499,,,,
7,1174,Organic_Clothing_7,1,1,contact1@organicclothing7.org,,https://www.commonobjective.co/organic-clothing-7,2025-08-22T16:28:15.342502,,,,
8,1174,Green_Fashion_8,1,1,contact1@greenfashion8.fashion,,https://www.commonobjective.co/green-fashion-8,2025-08-22T16:28:15.342505,,,,
9,1174,Ethical_Sourcing_9,1,1,contact1@ethicalsourcing9.com,,https://www.commonobjective.co/ethical-sourcing-9,2025-08-22T16:28:15.342508,,,,
10,1174,Supplier_010,1,2,contact1@supplier010.com; contact2@supplier010.com,+447000000010,https://www.commonobjective.co/supplier-010,2025-08-22T16:28:15.342511,,,,
11,1174,Textile_Company_11,1,1,contact1@textilecompany11.com,+14000000011,https://www.commonobjective.co/textile-company-11,2025-08-22T16:28:15.342516,,,,
12,1174,Fashion_Manufacturer_12,1,1,contact1@fashionmanufacturer12.com,+919000000012,https://www.commonobjective.co/fashion-manufacturer-12,2025-08-22T16:28:15.342520,,,,
13,1174,Garment_Supplier_13,1,1,contact1@garmentsupplier13.com,,https://www.commonobjective.co/garment-supplier-13,2025-08-22T16:28:15.342524,,,,
14,1174,Sustainable_Fashion_14,1,1,contact1@sustainablefashion14.uk,,https://www.commonobjective.co/sustainable-fashion-14,2025-08-22T16:28:15.342527,,,,
15,1174,Eco_Textiles_15,1,1,contact1@ecotextiles15.com,,https://www.commonobjective.co/eco-textiles-15,2025-08-22T16:28:15.342531,,,,
16,1174,Global_Apparel_16,1,1,contact1@globalapparel16.com,,https://www.commonobjective.co/global-apparel-16,2025-08-22T16:28:15.342534,,,,
17,1174,Organic_Clothing_17,1,1,contact1@organicclothing17.net,,https://www.commonobjective.co/organic-clothing-17,2025-08-22T16:28:15.342536,,,,
18,1174,Green_Fashion_18,1,1,contact1@greenfashion18.co,,https://www.commonobjective.co/green-fashion-18,2025-08-22T16:28:15.342539,,,,
19,1174,Ethical_Sourcing_19,1,1,contact1@ethicalsourcing19.org,,https://www.commonobjective.co/ethical-sourcing-19,2025-08-22T16:28:15.342542,,,,
