index,company_name,page_number,email_count,emails,phones,profile_url,timestamp,websites,founded_year,employees,governance
1,Kilim Grubu Kartaltepe Mensucat Fab Tas,20,1,nicola.tredoux@googlemail.com,,https://www.commonobjective.co/kilim-grubu-kartaltepe-mensucat-fab-tas,2025-08-22T16:08:02.164156,,,,
2,Sun and Sand Studios,20,1,nicola.tredoux@googlemail.com,,https://www.commonobjective.co/sun-and-sand-studios,2025-08-22T16:08:02.164169,,,,
3,FabricWorks London,20,1,mail@fabricworkslondon.org,,https://www.commonobjective.co/fabricworks-london,2025-08-22T16:08:02.164172,,,,
4,FG Group,20,1,predrag@funkyguerrilla.com,+38765985891,https://www.commonobjective.co/fg-group,2025-08-22T16:08:02.164174,,,,
5,Custom Collaborative,20,1,info@customcollaborative.org,,https://www.commonobjective.co/custom-collaborative,2025-08-22T16:08:02.164176,,,,
6,meshiko,20,1,aleloera3@gmail.com,07523790686,https://www.commonobjective.co/meshiko,2025-08-22T16:08:02.164177,,,,
7,London Sewing Services ltd,20,1,alesiar@gmail.com,07562897570,https://www.commonobjective.co/london-sewing-services-ltd,2025-08-22T16:08:02.164179,,,,
8,Lodos Knit Fabrics,20,1,sales@lodoskumas.com,+905493871005,https://www.commonobjective.co/lodos-knit-fabrics,2025-08-22T16:08:02.164180,,,,
9,Kaiser Enterprises,20,1,kaiser.ankur@gmail.com,,https://www.commonobjective.co/kaiser-enterprises,2025-08-22T16:08:02.164182,,,,
10,CraftKenya,20,1,craftsofkenya@gmail.com,+254720724631,https://www.commonobjective.co/craftkenya,2025-08-22T16:08:02.164183,,,,
11,"Evrnu, SPC",20,3,karen@evrnu.com; sinead@evrnu.com; katecottone@evrnu.com,,https://www.commonobjective.co/evrnu-spc,2025-08-22T16:08:02.164185,,,,
12,MKS Export Ltd.,20,1,online@mks-export.com,09830030794,https://www.commonobjective.co/mks-export-ltd,2025-08-22T16:08:02.164187,,,,
13,Duo UK,20,1,zoe.brimelow@duo-uk.co.uk,,https://www.commonobjective.co/duo-uk,2025-08-22T16:08:02.164188,,,,
14,Corkor,20,1,silvia@corkor.com,,https://www.commonobjective.co/corkor,2025-08-22T16:08:02.164190,,,,
15,Organic Weave,20,1,l.alexanian@sympatico.ca,,https://www.commonobjective.co/organic-weave,2025-08-22T16:08:02.164192,,,,
16,Botanica Tinctoria,20,1,rachelmachenry@gmail.com,,https://www.commonobjective.co/botanica-tinctoria,2025-08-22T16:08:02.164194,,,,
17,Tejidos Royo,20,1,maytemc@tejidos-royo.com,,https://www.commonobjective.co/tejidos-royo,2025-08-22T16:08:02.164195,,,,
18,Pure Fabricz,20,1,monique@purefabricz.com,,https://www.commonobjective.co/pure-fabricz,2025-08-22T16:08:02.164197,,,,
19,Arvind Ltd.,21,2,francis.jacob@arvindbrands.co.in; abhishek.bansal@arvind.in,+919712909648,https://www.commonobjective.co/arvind-ltd,2025-08-22T16:08:02.164198,,,,
20,Slow Made India,21,1,hello@slowmadeindia.com,,https://www.commonobjective.co/slow-made-india,2025-08-22T16:08:02.164200,,,,
21,Fashion4Freedom,21,1,lanvy@fashion4freedom.com,,https://www.commonobjective.co/fashion4freedom,2025-08-22T16:08:02.164201,,,,
