index,company_name,page_number,email_count,emails,phones,profile_url,timestamp,websites,founded_year,employees,governance
1,Better Packaging Co.,1,4,jessy@betterpackaging.com; carly@betterpackaging.com; kate@betterpackaging.com; rebecca@betterpackaging.com,02035196711,https://www.commonobjective.co/better-packaging-co,2025-08-22T16:04:08.277488,,,,
2,Mantis World,1,4,marion@mantisworld.com; Basak@mantisworld.com; russ@mantisworld.com; prama@mantisworld.com,+442072248991,https://www.commonobjective.co/mantis-world,2025-08-22T16:04:08.277537,,,,
3,Dibella India,1,1,sreeranga@dibellaindia.com,+917795049990,https://www.commonobjective.co/dibella-india,2025-08-22T16:04:08.277540,,,,
4,USHA YARNS LTD,1,2,anurag@ushayarns.com; jai@ushayarns.com,,https://www.commonobjective.co/usha-yarns-ltd,2025-08-22T16:04:08.277542,,,,
5,KOCO: Knit One (Garment) Change One (Life),1,2,communications@koco.global; danielle@koco.global,+61405224810,https://www.commonobjective.co/koco-knit-one-garment-change-one-life,2025-08-22T16:04:08.277545,,,,
6,Jacobs Well,16,1,bethisaac@jacobswell.biz,,https://www.commonobjective.co/jacobs-well,2025-08-22T16:04:08.277546,,,,
7,Threads London,16,1,sital@threads-london.com,+4401895347400,https://www.commonobjective.co/threads-london,2025-08-22T16:04:08.277548,,,,
8,The New Denim Project,16,2,danielaengelberg@gmail.com; arianne@iristextiles.com,+50222043900,https://www.commonobjective.co/the-new-denim-project,2025-08-22T16:04:08.277549,,,,
9,ElkAiva,17,1,hello@elkaiva.com,,https://www.commonobjective.co/elkaiva,2025-08-22T16:04:08.277551,,,,
10,ED Studio Fashion Ltd,17,1,info@edstudio.fashion,07842718829,https://www.commonobjective.co/ed-studio-fashion-ltd,2025-08-22T16:04:08.277552,,,,
11,Kozanteks Textile | Clothing Manufacturer & Factory,17,1,info@kozanteks.com,,https://www.commonobjective.co/kozanteks-textile--clothing-manufacturer-&-factory,2025-08-22T16:04:08.277554,,,,
12,RenewXe,17,1,dan.robenko@renewxe.com,+15195510905,https://www.commonobjective.co/renewxe,2025-08-22T16:04:08.277556,,,,
13,Afro Blonde,17,1,afroblonde.usa.sales@gmail.com,,https://www.commonobjective.co/afro-blonde,2025-08-22T16:04:08.277557,,,,
14,Fabritech inc,17,1,sbowron@fabritech.us,,https://www.commonobjective.co/fabritech-inc,2025-08-22T16:04:08.277559,,,,
15,MALYA JEWELC CRAFT,17,1,rishi@malyajewelcraft.com,+919414078191,https://www.commonobjective.co/malya-jewelc-craft,2025-08-22T16:04:08.277562,,,,
16,"Virent, Inc.",17,1,brendan_ihde@virent.com,,https://www.commonobjective.co/virent-inc,2025-08-22T16:04:08.277564,,,,
17,Oesterland,17,1,contact@oesterland.world,,https://www.commonobjective.co/oesterland,2025-08-22T16:04:08.277565,,,,
18,Baytech - HMS (Hand Made Stone),17,1,beyza@hmswashing.com,,https://www.commonobjective.co/baytech---hms-hand-made-stone,2025-08-22T16:04:08.277567,,,,
19,The Karur Fabrics,17,1,Dinesh@thekarurfabrics.com,,https://www.commonobjective.co/the-karur-fabrics,2025-08-22T16:04:08.277568,,,,
20,INVERSA Leathers,17,1,moriah@inversaleathers.com,,https://www.commonobjective.co/inversa-leathers,2025-08-22T16:04:08.277570,,,,
21,Matilda Flow Inclusion Foundation,17,1,sarah@makefashionclean.org,+19709883695,https://www.commonobjective.co/matilda-flow-inclusion-foundation,2025-08-22T16:04:08.277571,,,,
22,Last Yarn,17,1,piarve@colechi.com,,https://www.commonobjective.co/last-yarn,2025-08-22T16:04:08.277573,,,,
23,Chimuk Handknit,17,3,tkelly101@gmail.com; katie@handsonperu.org; rosabrem@hotmail.com,,https://www.commonobjective.co/chimuk-handknit,2025-08-22T16:04:08.277574,,,,
24,MycoFutures,17,1,info@myceliumofthefuture.com,,https://www.commonobjective.co/mycofutures,2025-08-22T16:04:08.277576,,,,
