index,company_name,page_number,email_count,emails,phones,profile_url,timestamp,websites,founded_year,employees,governance
506,RONNEL straw hats,26,1,ronnelmoscow@gmail.com,,https://www.commonobjective.co/ronnel-straw-hats,2025-08-22T16:12:51.420582,,,,
507,Józsa Péter - Divattervező Kft.,26,1,ante@antecouture.com,,https://www.commonobjective.co/józsa-péter---divattervező-kft,2025-08-22T16:12:51.420624,,,,
508,Always Trendin,26,1,alex@alwaystrendin.com,,https://www.commonobjective.co/always-trendin,2025-08-22T16:12:51.420628,,,,
509,Jaipur Boutique Jewels,26,1,jaipurboutiquejewels@gmail.com,+919887240444,https://www.commonobjective.co/jaipur-boutique-jewels,2025-08-22T16:12:51.420630,,,,
510,Stitchwell Garments,26,1,hassan@stitchwellgarments.com,+923008240980,https://www.commonobjective.co/stitchwell-garments,2025-08-22T16:12:51.420631,,,,
511,Bombyx,26,1,katieyeung@pfghl.com,,https://www.commonobjective.co/bombyx,2025-08-22T16:12:51.420633,,,,
513,Bold Intimates,26,1,nicola@boldintimates.com,,https://www.commonobjective.co/bold-intimates,2025-08-22T16:12:51.420634,,,,
514,Threads of Life,26,1,william@threadsoflife.com,,https://www.commonobjective.co/threads-of-life,2025-08-22T16:12:51.420636,,,,
516,Advance Textile,26,1,gisellalin22@gmail.com,,https://www.commonobjective.co/advance-textile,2025-08-22T16:12:51.420637,,,,
519,Renewcell,26,1,nora.eslander@renewcell.com,,https://www.commonobjective.co/renewcell,2025-08-22T16:12:51.420639,,,,
537,Handmade Jewelry by Copper Reflections,27,1,copperreflections@yahoo.com,,https://www.commonobjective.co/handmade-jewelry-by-copper-reflections,2025-08-22T16:12:51.420640,,,,
540,Buttonio,27,1,info@buttonio.com,,https://www.commonobjective.co/buttonio,2025-08-22T16:12:51.420642,,,,
552,PHVLO HATCH,28,2,silky@phvlo.com; winglam@phvlohatch.com,,https://www.commonobjective.co/phvlo-hatch,2025-08-22T16:12:51.420643,,,,
553,ReBlend,28,2,anita@reblend.nl; lisettevdmaarel@hotmail.com,,https://www.commonobjective.co/reblend,2025-08-22T16:12:51.420645,,,,
554,Auctus Wear,28,1,parag@auctuswear.com,+918074800846,https://www.commonobjective.co/auctus-wear,2025-08-22T16:12:51.420646,,,,
555,Textilogia,28,1,mateo@textilogia.com,+51914794883,https://www.commonobjective.co/textilogia,2025-08-22T16:12:51.420647,,,,
556,Capricorn Gems,28,1,boneyian@gmail.com,,https://www.commonobjective.co/capricorn-gems,2025-08-22T16:12:51.420649,,,,
557,Ndavaa Calzado Artesanal,28,1,ofstad@gmail.com,,https://www.commonobjective.co/ndavaa-calzado-artesanal,2025-08-22T16:12:51.420650,,,,
559,Akamae,28,1,cara@bywaysofchange.com,+66957930671,https://www.commonobjective.co/akamae,2025-08-22T16:12:51.420652,,,,
562,East Fourth Street Jewelry,29,1,susan@eastfourthstreet.com,,https://www.commonobjective.co/east-fourth-street-jewelry,2025-08-22T16:12:51.420653,,,,
563,Drishti Apparels,29,1,sofie.dg@gmail.com,01244515325,https://www.commonobjective.co/drishti-apparels,2025-08-22T16:12:51.420654,,,,
564,Etiquetas Granero,29,1,elian@etgranero.com,,https://www.commonobjective.co/etiquetas-granero,2025-08-22T16:12:51.420656,,,,
565,Mistral Confezioni,29,1,cosmin.bibicu@mistralconfezioni.ro,,https://www.commonobjective.co/mistral-confezioni,2025-08-22T16:12:51.420657,,,,
566,Lopes & Carvalho,29,1,marta@lopescarvalho.pt,,https://www.commonobjective.co/lopes-&-carvalho,2025-08-22T16:12:51.420659,,,,
